player_id,player_external_id,player_name,gender,role,batting_style,bowling_style,team_name
1301,221ad9d9,GP Swann,male,ALL_ROUNDER,,,England
1302,53fcbbfb,GP Thorpe,male,BATTER,,,England
1303,e1e81c75,GR Codrington,male,ALL_ROUNDER,,,Canada
1304,755a77c6,GS Ballance,male,BATTER,,,England
1305,1558d83b,GS Sandhu,male,BOWLER,,,Australia
1306,b58b7db6,GSNFG Jayasuriya,male,ALL_ROUNDER,,,Sri Lanka
1307,4ebc70ca,GT Main,male,ALL_ROUNDER,,,Scotland
1308,9811e35e,Gulsan Jha,male,ALL_ROUNDER,,,Nepal
1309,6eb146d2,Gurkeerat Singh,male,ALL_ROUNDER,,,India
1310,99258814,Gurnoor Brar,male,ALL_ROUNDER,,,India
1311,42a05795,GW Aldridge,male,BOWLER,,,New Zealand
1312,348195ea,GW Flower,male,ALL_ROUNDER,,,Zimbabwe
1313,42bf1b7d,H Carlyon,male,ALL_ROUNDER,,,Jersey
1314,9c9f8dbc,H Davids,male,BATTER,,,South Africa
1315,bb20441f,H Dhami,male,ALL_ROUNDER,,,Nepal
1316,6705008a,H Durham,male,ALL_ROUNDER,,,Bermuda
1317,9dc3ea7e,H Hiri,male,ALL_ROUNDER,,,Papua New Guinea
1318,2bfec670,H Kaushik,male,ALL_ROUNDER,,,United Arab Emirates
1319,235c2bb6,H Klaasen,male,ALL_ROUNDER,,,South Africa
1320,31fbf891,H Masakadza,male,ALL_ROUNDER,,,Zimbabwe
1321,2b8b75a0,H Osinde,male,ALL_ROUNDER,,,Canada
1322,c4ff0618,H Patel,male,ALL_ROUNDER,,,Canada
1323,afb3b840,H Shah,male,ALL_ROUNDER,,,Nepal
1324,c01d7726,H Thaker,male,ALL_ROUNDER,,,Canada
1325,eeeebf82,HA Varaiya,male,ALL_ROUNDER,,,Kenya
1326,e74ad9ea,Habibul Bashar,male,BATTER,,,Bangladesh
1327,c13e34f4,Haider Ali,male,BATTER,,,Pakistan
1328,dd572696,Haider Ali,male,ALL_ROUNDER,,,United Arab Emirates
1329,57bd3ecc,Hammad Azam,male,ALL_ROUNDER,,,Pakistan
1330,0b7b78c6,Hammad Mirza,male,BATTER,,,Oman
1331,34cb2f69,Hamza Tahir,male,ALL_ROUNDER,,,Scotland
1332,82e81007,Hamza Tariq,male,BATTER,,,Canada
1333,608e1581,Hannan Sarkar,male,ALL_ROUNDER,,,Bangladesh
1334,4a25c894,HAPW Jayawardene,male,BATTER,,,Sri Lanka
1335,8b5b6769,Harbhajan Singh,male,ALL_ROUNDER,,,India
1336,24bb1c2f,Haris Rauf,male,ALL_ROUNDER,,,Pakistan
1337,7cd0a092,Haris Sohail,male,ALL_ROUNDER,,,Pakistan
1338,0bf15e52,Harmeet Singh,male,ALL_ROUNDER,,,United States of America
1339,28c78fb3,Harpreet Singh,male,BATTER,,,United Arab Emirates
1340,77b1aa15,Harshit Rana,male,ALL_ROUNDER,,,India
1341,2911de16,Hasan Ali,male,ALL_ROUNDER,,,Pakistan
1342,80ad39ac,Hasan Mahmud,male,ALL_ROUNDER,,,Bangladesh
1343,fb0abc20,Haseeb Amjad,male,ALL_ROUNDER,,,Hong Kong
1344,5691931a,Haseebullah Khan,male,BATTER,,,Pakistan
1345,87a122f5,Hashir Dafedar,male,BATTER,,,Oman
1346,79025aaa,Hasibul Hossain,male,ALL_ROUNDER,,,Bangladesh
1347,c9040f7a,Hasnain Ul Wahab,male,BATTER,,,Oman
1348,26a8b2fe,Hassan Nawaz,male,BATTER,,,Pakistan
1349,7cb931fc,Hassnain Shah,male,ALL_ROUNDER,,,Oman
1350,bfaf461d,Hazrat Bilal,male,ALL_ROUNDER,,,United Arab Emirates
1351,5426de63,HB Shipley,male,ALL_ROUNDER,,,New Zealand
1352,4ae1755b,HC Brook,male,BATTER,,,England
1353,0605de92,HD Rutherford,male,BATTER,,,New Zealand
1354,323e4c16,HDPK Dharmasena,male,ALL_ROUNDER,,,Sri Lanka
1355,c5928dec,HDRL Thirimanne,male,ALL_ROUNDER,,,Sri Lanka
1356,9948e262,HE van der Dussen,male,ALL_ROUNDER,,,South Africa
1357,e412cb64,HF Gurney,male,ALL_ROUNDER,,,England
1358,ff014c34,HG Munsey,male,BATTER,,,Scotland
1359,98299b67,HGV Vare,male,BATTER,,,Papua New Guinea
1360,98ecf62a,HH Dippenaar,male,BATTER,,,South Africa
1361,e1d1b294,HH Gibbs,male,BATTER,,,South Africa
1362,dbe50b21,HH Pandya,male,ALL_ROUNDER,,,India
1363,37f501d7,HH Streak,male,ALL_ROUNDER,,,Zimbabwe
1364,e33616eb,HJC Mol,male,ALL_ROUNDER,,,Netherlands
1365,70542bef,HJH Marshall,male,BATTER,,,New Zealand
1366,a1000a26,HJW Gardiner,male,BATTER,,,Scotland
1367,5cb078d6,HK Badani,male,ALL_ROUNDER,,,India
1368,94238673,HK Bennett,male,ALL_ROUNDER,,,New Zealand
1369,7f82b4fb,HK Olonga,male,ALL_ROUNDER,,,Zimbabwe
1370,e798611a,HM Amla,male,BATTER,,,South Africa
1371,03521fd3,HM Nicholls,male,BATTER,,,New Zealand
1372,4fc516bd,HMCM Bandara,male,ALL_ROUNDER,,,Sri Lanka
1373,d2fcce2f,HMRKB Herath,male,ALL_ROUNDER,,,Sri Lanka
1374,915264c2,HN Ya France,male,ALL_ROUNDER,,,Namibia
1375,65a05fe6,HP Rinke,male,ALL_ROUNDER,,,Zimbabwe
1376,00ea9791,HP Tillakaratne,male,BATTER,,,Sri Lanka
1377,98653b57,HR Johnson,male,ALL_ROUNDER,,,United States of America
1378,1ac2a995,HR Walsh,male,ALL_ROUNDER,,,West Indies
1379,7839bf3a,HS Baidwan,male,ALL_ROUNDER,,,Canada
1380,5abdfd23,HS Modi,male,BATTER,,,Kenya
1381,59ea70a4,HT Tector,male,ALL_ROUNDER,,,Ireland
1382,bb4b445b,Hussain Talat,male,ALL_ROUNDER,,,Pakistan
1383,ab965cad,HWR Cartwright,male,BATTER,,,Australia
1384,5ad8c974,I Kaia,male,ALL_ROUNDER,,,Zimbabwe
1385,2d783277,I Maraj,male,ALL_ROUNDER,,,Canada
1386,ed547c49,I Pandey,male,BATTER,,,Nepal
1387,5bb1a1c4,I Sharma,male,ALL_ROUNDER,,,India
1388,ac5ae4af,I Udana,male,ALL_ROUNDER,,,Sri Lanka
1389,7429c452,I Wardlaw,male,ALL_ROUNDER,,,Scotland
1390,ca92a578,IA Karim,male,BATTER,,,Kenya
1391,c5e68250,IA Nicolson,male,ALL_ROUNDER,,,Zimbabwe
1392,818e8bf2,ID Blackwell,male,ALL_ROUNDER,,,England
1393,a7489342,IDR Bradshaw,male,ALL_ROUNDER,,,West Indies
1394,78f34e15,IE O'Brien,male,ALL_ROUNDER,,,New Zealand
1395,29e253dd,Iftikhar Ahmed,male,ALL_ROUNDER,,,Pakistan
1396,6adf9347,Iftikhar Anjum,male,ALL_ROUNDER,,,Pakistan
1397,b68a30f0,IG Butler,male,ALL_ROUNDER,,,New Zealand
1398,4167f30b,IG Holland,male,ALL_ROUNDER,,,United States of America
1399,54725e8b,IH Romaine,male,ALL_ROUNDER,,,Bermuda
1400,c290033d,Ihsanullah,male,BOWLER,,,Pakistan
1401,3227beb4,IJ Harvey,male,ALL_ROUNDER,,,Australia
1402,ac7fa28f,IJL Trott,male,ALL_ROUNDER,,,England
1403,5fa06777,IK Pathan,male,ALL_ROUNDER,,,India
1404,9cb8d7a6,Imad Wasim,male,ALL_ROUNDER,,,Pakistan
1405,40c041ea,Imam-ul-Haq,male,BATTER,,,Pakistan
1406,480ed517,Imran Farhat,male,ALL_ROUNDER,,,Pakistan
1407,0226b73a,Imran Haider,male,ALL_ROUNDER,,,United Arab Emirates
1408,3eb7c45d,Imran Nazir,male,BATTER,,,Pakistan
1409,acee4cc4,Imran Tahir,male,ALL_ROUNDER,,,South Africa
1410,5fbe14fc,Imrul Kayes,male,BATTER,,,Bangladesh
1411,b9a3d8c6,Inzamam-ul-Haq,male,BATTER,,,Pakistan
1412,7a624752,IPP Batuwitarachchi,male,BATTER,,,United Arab Emirates
1413,33155d1b,IR Bell,male,ALL_ROUNDER,,,England
1414,5c124657,Irfan Ahmed,male,ALL_ROUNDER,,,Hong Kong
1415,ee95065d,Irfan Khan,male,ALL_ROUNDER,,,Pakistan
1416,1fb2f362,IS Billcliff,male,BATTER,,,Canada
1417,641ac5ff,IS Sodhi,male,ALL_ROUNDER,,,New Zealand
1418,daf88af6,IS Sohi,male,ALL_ROUNDER,,,Canada
1419,752f7486,Ishan Kishan,male,BATTER,,,India
1420,d5bbb6a2,J Anderson,male,ALL_ROUNDER,,,Ireland
1421,6b0db726,J Andrew,male,BATTER,,,West Indies
1422,c3b93a03,J Blackwood,male,ALL_ROUNDER,,,West Indies
1423,af4a9a0a,J Blades,male,ALL_ROUNDER,,,West Indies
1424,7c503806,J Botha,male,ALL_ROUNDER,,,South Africa
1425,0e63259d,J Campbell,male,ALL_ROUNDER,,,Zimbabwe
1426,09a9d073,J Charles,male,ALL_ROUNDER,,,West Indies
