player_id,player_external_id,player_name,gender,team_name,matches,batting_innings,runs,balls_faced,highest_score,not_outs,fours,sixes,fifties,centuries,batting_average,strike_rate,bowling_innings,balls_bowled,wickets,runs_conceded,economy,bowling_average,best_bowling_wickets,five_wicket_hauls
19,090c0213,A Lister,female,Scotland,9,9,213,251,47,0,27,1,0,0,23.67,84.86,0,0,0,0,0.0,0.0,0,0
20,09a58e2d,A Mazvishaya,female,Zimbabwe,15,10,74,143,26,4,7,0,0,0,12.33,51.75,15,612,10,472,4.63,47.2,2,0
21,cb7f7284,A Minny,female,South Africa,3,3,106,121,73,1,11,1,1,0,53.0,87.6,0,0,0,0,0.0,0.0,0,0
22,a49985e6,A Mohammed,female,West Indies,45,36,232,557,31,12,23,0,0,0,9.67,41.65,43,1992,49,1513,4.56,30.88,5,1
23,a811cb83,A Munisar,female,West Indies,9,5,13,65,7,0,2,0,0,0,2.6,20.0,9,336,7,265,4.73,37.86,2,0
24,c8e6bddd,A Ndiraya,female,Zimbabwe,16,16,428,603,82,2,40,0,1,0,30.57,70.98,3,25,1,16,3.84,16.0,1,0
25,12e28f5c,A Rawat,female,India,2,2,153,185,97,1,20,2,2,0,153.0,82.7,0,0,0,0,0.0,0.0,0,0
26,eadc8924,A Reddy,female,India,11,7,58,90,14,1,2,0,0,0,9.67,64.44,11,548,15,490,5.36,32.67,4,0
27,a3ead8da,A Sharma,female,India,9,7,108,149,42,2,11,1,0,0,21.6,72.48,8,264,4,177,4.02,44.25,1,0
28,32497ecd,A Shrubsole,female,England,66,32,199,254,32,10,21,4,0,0,9.05,78.35,66,3119,81,2179,4.19,26.9,6,1
29,14baca9f,A Steyn,female,South Africa,31,31,781,1227,117,2,82,1,4,1,26.93,63.65,0,0,0,0,0.0,0.0,0,0
30,65d9b6b6,A Sutherland,female,Australia,49,36,1062,1140,110,10,102,15,4,3,40.85,93.16,48,1755,63,1377,4.71,21.86,5,1
31,43a2244f,A Suwanchonrathi,female,Thailand,4,4,31,39,28,0,1,0,0,0,7.75,79.49,2,24,0,12,3.0,0.0,0,0
32,d58e9bfb,A Tector,female,Ireland,6,6,50,76,21,0,4,0,0,0,8.33,65.79,5,150,2,168,6.72,84.0,1,0
33,9b3bcca4,A Wellington,female,Australia,11,4,6,17,3,1,0,0,0,0,2.0,35.29,11,534,17,427,4.8,25.12,3,0
