match_id,team_id,team_name,gender,runs,wickets,total_balls,fours,sixes,extras,run_rate
1138200,20,Pakistan,female,250,6,300,24,1,13,5.0
1138200,18,Sri Lanka,female,156,10,222,25,0,7,4.22
1138201,20,Pakistan,female,215,9,300,19,1,14,4.3
1138201,18,Sri Lanka,female,107,10,249,9,0,6,2.58
1140379,10,England,male,92,2,90,13,2,4,6.13
1140380,10,England,male,278,9,300,28,2,9,5.56
1140380,11,Sri Lanka,male,140,5,174,11,4,7,4.83
1140381,11,Sri Lanka,male,150,9,126,16,2,12,7.14
1140381,10,England,male,153,3,111,13,4,7,8.27
1140382,11,Sri Lanka,male,273,7,300,18,7,19,5.46
1140382,10,England,male,132,2,162,10,2,12,4.89
1140383,11,Sri Lanka,male,366,6,300,32,11,15,7.32
1140383,10,England,male,132,9,157,18,1,2,5.04
1142584,11,Sri Lanka,male,193,10,207,22,1,19,5.59
1142584,9,South Africa,male,196,5,186,27,3,6,6.32
1142585,11,Sri Lanka,male,244,8,300,25,0,11,4.88
1142585,9,South Africa,male,246,6,257,25,4,3,5.74
1142586,9,South Africa,male,363,7,300,33,8,21,7.26
1142586,11,Sri Lanka,male,285,10,272,30,5,10,6.29
1142587,11,Sri Lanka,male,306,7,234,27,12,22,7.85
1142587,9,South Africa,male,187,9,126,20,4,12,8.9
1142588,11,Sri Lanka,male,299,8,300,29,3,25,5.98
1142588,9,South Africa,male,121,10,148,16,1,2,4.91
1142920,2,Pakistan,male,308,7,300,26,3,7,6.16
1142920,6,Zimbabwe,male,107,10,210,8,0,2,3.06
1142921,6,Zimbabwe,male,194,10,296,14,4,10,3.93
1142921,2,Pakistan,male,195,1,216,21,0,5,5.42
1142922,6,Zimbabwe,male,67,10,151,8,0,7,2.66
1142922,2,Pakistan,male,69,1,59,11,0,7,7.02
1142923,2,Pakistan,male,399,1,300,37,8,26,7.98
1142923,6,Zimbabwe,male,155,10,256,8,4,9,3.63
1142924,2,Pakistan,male,364,4,300,29,6,21,7.28
1142924,6,Zimbabwe,male,233,4,300,13,9,10,4.66
1144146,6,Zimbabwe,male,117,10,205,19,0,4,3.42
1144146,9,South Africa,male,119,5,157,16,2,5,4.55
1144147,9,South Africa,male,198,10,285,23,4,13,4.17
1144147,6,Zimbabwe,male,78,10,144,7,1,6,3.25
1144148,6,Zimbabwe,male,228,10,297,28,1,10,4.61
1144148,9,South Africa,male,231,6,275,22,2,8,5.04
1144156,9,South Africa,male,266,2,300,20,4,4,5.32
1144156,2,Pakistan,male,267,5,295,23,5,5,5.43
1144157,2,Pakistan,male,203,10,275,15,4,9,4.43
1144157,9,South Africa,male,207,5,252,26,2,6,4.93
