fold,date,target,raw_probability
1,2015-11-07,1,0.7543247270105046
1,2015-11-07,1,0.6370620106179998
1,2015-11-09,1,0.6656280923392534
1,2015-11-11,0,0.5976779924669782
1,2015-11-11,1,0.6813729001057799
1,2015-11-13,1,0.5827672853757306
1,2015-11-16,0,0.667730467802718
1,2015-11-17,1,0.5927471049180421
1,2015-11-20,1,0.6425689218525389
1,2015-12-26,1,0.5107131277597217
1,2015-12-28,1,0.5177252983204004
1,2015-12-31,0,0.5398460455965618
1,2016-01-05,1,0.46855362763204583
1,2016-01-12,1,0.6552772510139845
1,2016-01-15,1,0.6874167318692764
1,2016-01-17,1,0.6953405265759924
1,2016-01-20,1,0.7229491655533739
1,2016-01-23,0,0.7402341712449912
1,2016-01-25,1,0.5811325522872804
2,2016-01-31,1,0.6682841112488629
2,2016-02-03,0,0.5937952163940955
2,2016-02-03,1,0.41382275342111297
2,2016-02-06,0,0.5997566695605727
2,2016-02-06,0,0.5140363106464744
2,2016-02-08,1,0.4694247222205817
2,2016-02-09,1,0.5909477779730328
2,2016-02-12,1,0.5993103111488676
2,2016-02-14,1,0.643520759645584
2,2016-06-03,1,0.4023875114777651
2,2016-06-05,0,0.3720875940650456
2,2016-06-07,0,0.7297875858964191
2,2016-06-11,0,0.2742175201198297
2,2016-06-11,1,0.7010229676955696
2,2016-06-13,0,0.26141218519897996
2,2016-06-13,1,0.33148955627676474
2,2016-06-15,0,0.2544360344839953
2,2016-06-15,0,0.4385217247746674
2,2016-06-18,0,0.24020434866511875
2,2016-06-21,0,0.34625829751477716
2,2016-06-24,1,0.512040943196939
2,2016-06-24,1,0.40087268580472724
2,2016-06-26,0,0.3476501165271535
2,2016-06-29,1,0.5665910348821029
2,2016-07-02,1,0.6444269828228048
2,2016-08-14,1,0.5151314817897149
2,2016-08-16,1,0.6586430939089497
2,2016-08-18,0,0.3071294342727845
2,2016-08-21,0,0.53382883724795
2,2016-08-24,1,0.7044311651124195
2,2016-08-24,1,0.5217691394078063
2,2016-08-27,1,0.6884851095772302
2,2016-08-28,0,0.5316223677971906
2,2016-08-30,1,0.7297070794527021
2,2016-08-31,0,0.5026729146315733
2,2016-09-01,1,0.7465766224973686
2,2016-09-04,0,0.7476260565061681
2,2016-09-04,0,0.4819677390553556
2,2016-09-10,1,0.6043865728869479
2,2016-09-25,1,0.8456333667650786
2,2016-09-27,1,0.9062859154953483
2,2016-09-30,1,0.6980946557239625
2,2016-09-30,1,0.5143703943067478
2,2016-10-02,1,0.7511727566005532
2,2016-10-02,1,0.5182572608954714
2,2016-10-05,1,0.7695916379983475
2,2016-10-05,1,0.5173011296099614
2,2016-10-07,0,0.3830091359662496
2,2016-10-09,1,0.3646955709673722
2,2016-10-09,1,0.604167669711015
2,2016-10-12,0,0.4461260725974313
2,2016-10-12,1,0.6580375907006579
2,2016-10-16,1,0.7114301354839001
2,2016-10-20,0,0.7607905044199628
2,2016-10-23,1,0.733442637753189
2,2016-10-26,0,0.7656891166592453
2,2016-10-29,1,0.7374853474818851
2,2016-11-04,1,0.5047067823181108
2,2016-11-06,0,0.7386349983439203
2,2016-11-08,1,0.46860467367577363
2,2016-11-14,0,0.3181006254572327
2,2016-11-16,0,0.762433885930209
2,2016-11-23,1,0.7145120162461238
2,2016-11-25,1,0.40721931622985214
2,2016-11-27,0,0.29491373577035745
2,2016-12-04,1,0.7920231285835766
2,2016-12-06,1,0.7839275560980724
2,2016-12-09,1,0.8153267863690761
2,2016-12-26,1,0.6960533839518136
2,2016-12-29,1,0.6713561268985611
2,2016-12-31,1,0.727115073038016
2,2017-01-13,1,0.7498518445342236
2,2017-01-15,0,0.7766471128320849
2,2017-01-15,1,0.7156077235214221
2,2017-01-19,1,0.771502915925307
2,2017-01-19,1,0.7891460125273522
2,2017-01-22,1,0.7916188942273424
2,2017-01-22,0,0.7974393001194857
2,2017-01-22,1,0.43068143696094296
2,2017-01-24,1,0.393376325935216
2,2017-01-26,1,0.7988404539600061
2,2017-01-26,1,0.43690816148271583
2,2017-01-28,1,0.6410912230099189
2,2017-01-30,1,0.41307003724103364
2,2017-02-01,1,0.6657696586645611
2,2017-02-04,1,0.7015958043412446
2,2017-02-05,1,0.4631680064055358
2,2017-02-07,1,0.7066240306055308
2,2017-02-10,1,0.6948479545410885
2,2017-02-19,0,0.4644851053160398
2,2017-02-22,1,0.4988836279553476
2,2017-02-25,0,0.4804245120035308
2,2017-03-01,1,0.4695609125512353
2,2017-03-02,0,0.4178105232829243
2,2017-03-03,0,0.46936869971173206
2,2017-03-04,0,0.5295848538331753
2,2017-03-04,0,0.36663278323163434
2,2017-03-05,0,0.4552754520726686
2,2017-03-09,0,0.44844746828981924
2,2017-03-25,0,0.8113351821492981
2,2017-04-01,1,0.8064366939413617
2,2017-04-02,0,0.4759857201750016
2,2017-04-04,1,0.34093887155601993
2,2017-04-07,1,0.4854810744886606
2,2017-04-09,0,0.5011844574555137
2,2017-04-11,0,0.4923343534927457
2,2017-05-05,1,0.8367612986406819
2,2017-05-07,1,0.8500564460308698
2,2017-05-14,0,0.2699727786170313
2,2017-05-17,0,0.4107727581611247
2,2017-05-19,0,0.38994331585895126
2,2017-05-21,0,0.22193476303677886
2,2017-05-24,1,0.643829656666238
2,2017-05-24,1,0.37026362526672585
2,2017-05-27,1,0.6164082979254447
2,2017-05-29,0,0.677741770241443
2,2017-06-01,1,0.8094724267542335
2,2017-06-03,1,0.6615657651086226
2,2017-06-04,1,0.757437635421406
2,2017-06-06,1,0.653371231630412
2,2017-06-07,1,0.5042650245202396
2,2017-06-08,0,0.7933776936166675
2,2017-06-09,1,0.4645755464473896
2,2017-06-10,1,0.5867793655591402
2,2017-06-11,1,0.6911481936789582
2,2017-06-12,1,0.6871897138459185
2,2017-06-14,0,0.6583955413544439
2,2017-06-15,0,0.32082938279304063
2,2017-06-15,1,0.4760911638716942
2,2017-06-17,0,0.5777934271091545
2,2017-06-18,0,0.723499498080281
2,2017-06-25,0,0.3949452956340268
2,2017-06-30,0,0.3765854073099009
2,2017-06-30,0,0.8114944665050474
2,2017-07-02,1,0.364505596630381
2,2017-07-02,1,0.7797028910097361
2,2017-07-06,0,0.4388405434242525
2,2017-07-06,1,0.8205860729216665
2,2017-07-08,0,0.8493153338419305
2,2017-07-10,0,0.814359946737499
2,2017-08-20,0,0.5428998975038127
2,2017-08-24,0,0.511859854487494
2,2017-08-27,0,0.5021456500463338
2,2017-08-31,1,0.8272726355385951
2,2017-09-03,0,0.4699440827590142
2,2017-09-17,1,0.6929400986424867
